PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	OSIPOV, BD				OSIPOV, BD			ON THE POSSIBILITY OF MEASURING A GRAVITATIONAL FREQUENCY SHIFT IN THE SUNS FIELD	SOVIET PHYSICS JETP-USSR			English	Letter																GINZBURG VL, 1956, SOV PHYS JETP-USSR, V3, P136; SINGER SF, 1956, PHYS REV, V104, P11, DOI 10.1103/PhysRev.104.11	2	0	0	AMER INST PHYSICS	WOODBURY	CIRCULATION FULFILLMENT DIV, 500 SUNNYSIDE BLVD, WOODBURY, NY 11797-2999	0038-5646			SOV PHYS JETP-USSR			1960	11	2					472	473				2	Physics, Multidisciplinary	Physics	WN980	WOS:A1960WN98000056		
J	GRON, O				GRON, O			MARINOVS SPACETIME THEORY AND GRAVITATIONAL FREQUENCY-SHIFT	FOUNDATIONS OF PHYSICS			English	Article									BJORKNES PRIVATE SCH,OSLO,NORWAY							KITTEL C, 1962, MECHANICS, V1, pCH14; MARINOV S, 1975, INT J THEOR PHYS, V13, P189, DOI 10.1007/BF01808204; MARINOV S, 1976, FOUND PHYS, V6, P571, DOI 10.1007/BF00715109; MARINOV S, 1974, CZECH J PHYS, VB 24, P965, DOI 10.1007/BF01591047; Moller C., 1972, THEORY RELATIVITY	5	0	0	PLENUM PUBL CORP	NEW YORK	233 SPRING ST, NEW YORK, NY 10013	0015-9018			FOUND PHYS	Found. Phys.		1977	7	11-1					927	930		10.1007/BF00708514		4	Physics, Multidisciplinary	Physics	EA242	WOS:A1977EA24200010		
J	SASSI, G				SASSI, G			EXACT FORMULATION OF THE GRAVITATIONAL FREQUENCY-SHIFT PHENOMENON	PHYSICS LETTERS A			English	Article										SASSI, G (reprint author), UNIV MILAN,DEPT PHYS,I-20122 MILAN,ITALY.						Misner C. W., 1973, GRAVITATION; Moller C., 1972, THEORY RELATIVITY; PRICE HE, 1974, AM J PHYS, V42, P336, DOI 10.1119/1.1987687	3	1	1	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0375-9601			PHYS LETT A	Phys. Lett. A	AUG 1	1988	131	1					28	30		10.1016/0375-9601(88)90627-5		3	Physics, Multidisciplinary	Physics	P7548	WOS:A1988P754800007		
J	COLEY, AA; SARMIENTO, AF				COLEY, AA; SARMIENTO, AF			NONMETRIC THEORIES OF GRAVITY AND THE GRAVITATIONAL FREQUENCY-SHIFT	ASTROPHYSICAL JOURNAL			English	Article									NATL AUTONOMOUS UNIV MEXICO,INST ASTRON,MEXICO CITY 04510,DF,MEXICO	COLEY, AA (reprint author), DALHOUSIE UNIV,DEPT MATH STAT & COMP SCI,HALIFAX B3H 4H8,NS,CANADA.						ADAMS PJ, 1983, PHYS REV D, V28, P1822, DOI 10.1103/PhysRevD.28.1822; CANUTO V, 1977, PHYS REV D, V16, P1643, DOI 10.1103/PhysRevD.16.1643; CANUTO VM, 1982, NATURE, V296, P709, DOI 10.1038/296709a0; COLEMAN RA, 1984, J MATH PHYS, V25, P3513, DOI 10.1063/1.526122; COLEY A, 1983, PHYS REV LETT, V50, P1174, DOI 10.1103/PhysRevLett.50.1174; COLEY A, 1982, PHYS REV LETT, V49, P853, DOI 10.1103/PhysRevLett.49.853; COLEY AA, 1982, GEN RELAT GRAVIT, V14, P1107, DOI 10.1007/BF00762638; COLEY AA, 1983, PHYS REV D, V28, P1844, DOI 10.1103/PhysRevD.28.1844; COLEY AA, 1983, AMRR836 U WAT APPL M; COLEY AA, 1987, OBSERVATIONAL LIMITS; COLEY AA, 1983, PHYS REV D, V28, P1829, DOI 10.1103/PhysRevD.28.1829; COLEY AA, 1983, PHYS REV D, V27, P728, DOI 10.1103/PhysRevD.27.728; COLEY AA, 1983, GEN RELAT GRAVIT, V15, P997, DOI 10.1007/BF00759235; Dirac PAM, 1938, PROC R SOC LON SER-A, V165, P0199, DOI 10.1098/rspa.1938.0053; DIRAC PAM, 1972, COSMOLOGY FUSION OTH, P56; Duff M. J., 1974, General Relativity and Gravitation, V5, DOI 10.1007/BF00763038; Ehlers J. F., 1972, GEN RELATIVITY PAPER, P63; HOYLE F, 1971, NATURE, V233, P41, DOI 10.1038/233041a0; Misner C. W., 1973, GRAVITATION; NI WT, 1983, PHYS REV LETT, V50, P1173, DOI 10.1103/PhysRevLett.50.1173; REASENBERG RD, 1983, PHILOS T R SOC A, V310, P227, DOI 10.1098/rsta.1983.0083; REASENBERG RD, 1980, P INT SCH COSMOLOGY; SARMIENTO G, 1982, REV MEXICANA FIS, V29, P113; SARMIENTO G, 1981, THESIS U LONDON; Sarmiento G. A. F., 1982, General Relativity and Gravitation, V14; VANFLANDERN TC, 1975, MON NOT R ASTRON SOC, V170, P333; Wesson P. S, 1980, GRAVITY PARTICLES AS; Weyl H., 1922, SPACE TIME MATTER; WILL CM, 1984, PHYS REP, V113, P345, DOI 10.1016/0370-1573(84)90119-4; WILL CM, 1974, PHYS REV D, V10, P2330, DOI 10.1103/PhysRevD.10.2330; Will C. M., 1979, General relativity. An Einstein centenary survey; WILL CM, 1973, P COURSE 56 INT SCH, P1; 1978, NASA JPL7870 JET PRO; 1976, ESA DPPS768 EUR SPAC	34	2	2	UNIV CHICAGO PRESS	CHICAGO	5720 S WOODLAWN AVE, CHICAGO, IL 60637	0004-637X			ASTROPHYS J	Astrophys. J.	AUG 15	1988	331	2	1				773	783		10.1086/166598		11	Astronomy & Astrophysics	Astronomy & Astrophysics	P6854	WOS:A1988P685400015		
J	SCHACHERL, U				SCHACHERL, U			THE RELATIVISTIC TIME-LAG REASSESSED	PHYSICS ESSAYS			English	Article						CONSTANCY OF C; ETHER DRIFT EXPERIMENT AND LORENTZ FORMULA; MATHEMATICAL VERSUS PERCEPTIONAL THEORY; MICHELSONS FRINGE DISPLACEMENT AND TIME LAG; POPPERS FALSIFIABILITY; NEGATIVE ROTATIONAL LAG OBSERVATIONS; GRAVITATIONAL INTERFERENCE; REDSHIFT; CIRCUMNAVIGATING CLOCKS; GPS (GLOBAL POSITIONING SYSTEM); SYMMETRY OF REFERENCE FRAMES MOVING IN OPPOSITE DIRECTIONS		Einstein's declared reason for postulating the special relativity time lag is the maintenance of the constancy of c. When the hypothesis of the Lorentz contraction is followed to its mathematical consequences, it leads to a dilatation of the path of light and therefore an apparent decrease of its speed. The special relativity time lag seems to have been conceived as a correction for this, just as the gravitational time lag seems to have been conceived to counteract the consequences for c of a gravitational frequency shift. This gravitational effect as originally postulated would have implied a change in the speed of light. This hypothesis was later modified by Einstein by the introduction of another time lag intended to shelter such a variation of c at the surface of a gravitational body from detection. Thus a detectable gravitational frequency shift at the surface of the Earth militates against a gravitational time lag: the two hypotheses are mutually exclusive. In addition, the presence of two separate and distinct time lags at the same site is paradoxical. To reduce the two to one by algebraic addition undermines the constancy of c and obviates the effect for which these lags were created. A time lag presupposes an alteration in rhythm of all surrounding physical phenomena, not just in the rate of the clock. All research on the subject should be assessed with the above principles in mind.									0	0	0	UNIV TORONTO PRESS INC	TORONTO	JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO ON M3H 5T8, CANADA	0836-1398			PHYS ESSAYS	Phys. Essays	MAR	1994	7	1					60	68				9	Physics, Multidisciplinary	Physics	PB485	WOS:A1994PB48500009		
J	Manly, S; Page, E				Manly, S; Page, E			Experimental feasibility of measuring the gravitational redshift of light using dispersion in optical fibers	PHYSICAL REVIEW D			English	Article							INDUCED QUANTUM INTERFERENCE; SELF-FREQUENCY SHIFT; SOLITON TRANSMISSION; EQUIVALENCE PRINCIPLE; 3RD-ORDER DISPERSION; TIMING JITTER; VIOLATION; NEUTRINOS; STORAGE	This paper describes a new class of experiments that use dispersion in optical fibers to convert the gravitational frequency shift of light into a measurable phase shift or time delay. Two conceptual models are explored. In the first model, long counterpropagating pulses are used in a vertical fiber optic Sagnac interferometer. The second model uses optical solitons in vertically separated fiber optic storage rings. We discuss the feasibility of using such an instrument to make a high precision measurement of the gravitational frequency shift of light.	Univ Rochester, Dept Phys & Astron, Rochester, NY 14627 USA	Manly, S (reprint author), Univ Rochester, Dept Phys & Astron, Rochester, NY 14627 USA.						Agrawal G. P., 1995, NONLINEAR FIBER OPTI; ANANDAN J, 1977, PHYS REV D, V15, P1448, DOI 10.1103/PhysRevD.15.1448; BOYD RH, COMMUNICATION; Burns W. K., 1998, OPN Optics & Photonics News, V9; CHRISTENSEN B, 1987, ELECTRON LETT, V23, P357; COLELLA R, 1975, PHYS REV LETT, V34, P1472, DOI 10.1103/PhysRevLett.34.1472; DESEM C, 1987, IEE PROC-J, V134, P145; FUJISE M, 1987, J LIGHTWAVE TECHNOL, V5, P751, DOI 10.1109/JLT.1987.1075578; Gago AM, 2000, PHYS REV LETT, V84, P4035, DOI 10.1103/PhysRevLett.84.4035; GASPERINI M, 1988, PHYS REV D, V38, P2635, DOI 10.1103/PhysRevD.38.2635; GORDON JP, 1986, OPT LETT, V11, P662, DOI 10.1364/OL.11.000662; GORDON JP, 1986, OPT LETT, V11, P665, DOI 10.1364/OL.11.000665; Halprin A, 1996, PHYS REV D, V53, P5365, DOI 10.1103/PhysRevD.53.5365; HAUS HA, 1992, OPT LETT, V17, P1500, DOI 10.1364/OL.17.001500; Haus HA, 1996, REV MOD PHYS, V68, P423, DOI 10.1103/RevModPhys.68.423; Hizanidis K, 1998, PURE APPL OPT, V7, pL57, DOI 10.1088/0963-9659/7/4/003; Hotate K, 1997, PHOTON SPECTRA, V31, P108; JAFFE J, 1976, PHYS REV D, V14, P3294, DOI 10.1103/PhysRevD.14.3294; JAFFE J, 1990, PHYS REV D, V41, P2367; Kivshar YS, 1998, PHYS REP, V298, P81, DOI 10.1016/S0370-1573(97)00073-2; Krisher TP, 1996, PHYS REV D, V53, pR1735; LAKOBA T, COMMUNICATION; Lakoba TI, 1999, J OPT SOC AM B, V16, P1332, DOI 10.1364/JOSAB.16.001332; Liao ZM, 1999, IEEE PHOTONIC TECH L, V11, P818, DOI 10.1109/68.769718; Littrell KC, 1997, PHYS REV A, V56, P1767, DOI 10.1103/PhysRevA.56.1767; Mansour SW, 1999, PHYS REV D, V60; MCCOY K, 1996, THESIS GEORGIA I TEC; MITSCHKE FM, 1986, OPT LETT, V11, P659, DOI 10.1364/OL.11.000659; MOLLENAUER LF, 1994, OPT LETT, V19, P375; MOORES JD, 1994, OPT COMMUN, V113, P153, DOI 10.1016/0030-4018(94)90605-X; NAKAZAWA M, 1993, ELECTRON LETT, V29, P729, DOI 10.1049/el:19930489; PERLMUTTER M, COMMUNICATION; Pinto AN, 1998, J LIGHTWAVE TECHNOL, V16, P515, DOI 10.1109/50.664057; Shi CX, 1996, OPT COMMUN, V131, P47, DOI 10.1016/0030-4018(96)00258-1; VESSOT RFC, 1980, PHYS REV LETT, V45, P2081, DOI 10.1103/PhysRevLett.45.2081; Will C. M., GRQC9811036	36	2	4	AMERICAN PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0556-2821			PHYS REV D	Phys. Rev. D	MAR 15	2001	63	6							062003	10.1103/PhysRevD.63.062003		10	Astronomy & Astrophysics; Physics, Particles & Fields	Astronomy & Astrophysics; Physics	411KV	WOS:000167500000003		
S	Svehla, D; Rothacher, M		Sanso, F		Svehla, D; Rothacher, M			Kinematic precise orbit determination for gravity field determination	Window on the Future of Geodesy	INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA		English	Proceedings Paper	General Assembly of the International-Association-of-Geodesy	JUN 30-JUL 11, 2003	Sapporo, JAPAN	Int Assoc Geodesy		kinematic orbit; LEO; POD; space clock	TOPEX/POSEIDON; MODEL	In this paper we first present approaches and results in precise orbit determination (POD) for satellites in Low Earth Orbit (LEO) based on one or two frequency GPS measurements and, secondly, we focus on the relations between kinematic POD and gravity field determination. Using GPS measurements of the CHAMP satellite we show that it is possible to estimate kinematic positions of a LEO satellite with the same level of accuracy (approximate to 1-3 cm w.r.t. SLR) as with the widely applied reduced-dynamic or dynamic approaches. Kinematic precise orbit determination (POD) as presented here is based on GPS phase measurements and is independent of satellite dynamics (e.g. gravity field, air-drag, etc.) and orbit characteristics (e.g. orbit height, eccentricity, etc.). We also looked at the LEO POD based on GPS measurements from only one frequency, where we make use of what we call the LP linear combination. We show that with this linear combination LEO POD can be performed with one frequency at the 10 cm level. In the second part of the paper the use of kinematic POD is discussed in the framework of the CHAMP, GRACE and GOCE gravity missions. With simulated GPS measurements we studied the impact of ambiguity resolution for the kinematic baseline between the two GRACE satellites. At the end of the paper we present an alternative approach in gravity field determination by measuring the gravitational frequency shift between (optical) atomic clocks in space. In this approach we require very accurate clocks positions, which may be obtained from kinematic POD.	Tech Univ Munich, Forsch Satellitengeodasie, Inst AStron & Phys Geodasie, D-80290 Munich, Germany	Svehla, D (reprint author), Tech Univ Munich, Forsch Satellitengeodasie, Inst AStron & Phys Geodasie, Arcisstr 21, D-80290 Munich, Germany.		Symposia, IAG/K-2857-2012				Balmino G, 1999, B GEOFISICA TEORICA, V40, P309; BERTIGER W, 1996, ION NAT TECHN M JAN; BERTIGER WI, 1994, J GEOPHYS RES-OCEANS, V99, P24449, DOI 10.1029/94JC01171; BOCK H, 2003, THESIS ASTRONOMIAL I; Byun SH, 2003, J GEODESY, V76, P569, DOI 10.1007/s00190-002-0279-0; COLOMBO OL, 2002, ION S GPS 2002 SEPT; FOLDVARY L, 2003, IUGG 2003 GEN ASS JU; Gerlach C, 2003, GEOPHYS RES LETT, V30, DOI 10.1029/2003GL018025; Reigber C, 2003, ADV SPACE RES, V31, P1883, DOI 10.1016/S0273-1177(03)00162-5; RIM HJ, 2003, IUGG 2003 GEN ASS JU; SALOMON C, 2001, CR HEBD ACAD SCI, P1313; Svehla D, 2003, FIRST CHAMP MISSION RESULTS FOR GRAVITY, MAGNETIC AND ATMOSPHERIC STUDIES, P70; Svehla D, 2003, ADV GEOSCIENCES, V1, P47, DOI DOI 10.5194/ADGE0-1-47-2003; Svehla D., 2003, EGS AGU EUG JOINT AS; Svehla D, 2002, IAG SYMP, V125, P322; TAPLEY BD, 1994, J GEOPHYS RES-OCEANS, V99, P24383, DOI 10.1029/94JC01645; Udem T, 2002, NATURE, V416, P233, DOI 10.1038/416233a; YUNCK TP, 1994, GEOPHYS RES LETT, V21, P541, DOI 10.1029/94GL00010	18	37	37	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0939-9585		3-540-24055-1	IAG SYMP			2005	128						181	188		10.1007/3-540-27432-4_32		8	Engineering, Aerospace; Geosciences, Multidisciplinary; Remote Sensing	Engineering; Geology; Remote Sensing	BCH93	WOS:000229368000032		
J	Gron, O; Elgaroy, O				Gron, Oyvind; Elgaroy, Oystein			Is space expanding in the Friedmann universe models?	AMERICAN JOURNAL OF PHYSICS			English	Article							NEWTONIAN COSMOLOGY	The interpretation of the expanding universe as an expansion of space has recently been challenged. From the geodesic equation in Friedmann universe models and the empty Milne model, we argue that a Newtonian or special relativistic analysis is not applicable on large scales, and the general relativistic interpretation in terms of expanding space has the advantage of being globally consistent. We also show that the cosmic redshift, interpreted as an expansion effect, contains both the Doppler effect and the gravitational frequency shift. (C) 2007 American Association of Physics Teachers.	Oslo Coll, Fac Engn, N-0254 Oslo, Norway; Univ Oslo, Dept Phys, N-0316 Oslo, Norway; Univ Oslo, Inst Theoret Astrophys, N-0315 Oslo, Norway	Gron, O (reprint author), Oslo Coll, Fac Engn, Cort Adelersgt 30, N-0254 Oslo, Norway.	oyvind.gron@iu.hio.no; oelgaroy@astro.uio.no					BONDI H, 1947, MON NOT R ASTRON SOC, V107, P410; CARROLL S, 2004, SPACETIME GEOMETRY I, P93; CHODOROWSKI MJ, ASTROPH0601171; Davis TM, 2004, PUBL ASTRON SOC AUST, V21, P97, DOI 10.1071/AS03040; Davis TM, 2003, AM J PHYS, V71, P358, DOI 10.1119/1.1528916; GAUTREAU R, 1984, PHYS REV D, V29, P198, DOI 10.1103/PhysRevD.29.198; Gron O, 2003, GEN RELAT GRAVIT, V35, P2189, DOI 10.1023/A:1027353707603; Heisenberg Werner, 1971, PHYSICS; Lineweaver Charles H, 2005, Sci Am, V292, P24; MISNER CW, 1973, GRAVITATION, P284; MORGAN JA, 1988, AM J PHYS, V56, P777, DOI 10.1119/1.15484; Peacock J. A., 1998, COSMOLOGICAL PHYS; PEACOCK JA, 2002, MODERN COSMOLOGY, P9; PRICE RH, GRQC0508052, P44037; Robertson H. P., 1968, RELATIVITY COSMOLOGY; Tipler FJ, 1996, MON NOT R ASTRON SOC, V282, P206; Tipler FJ, 1996, AM J PHYS, V64, P1311, DOI 10.1119/1.18398; Whiting A. B., 2004, OBS, V124, P174; Zeldovich Y. B., 1983, RELATIVISTIC ASTROPH	19	15	15	AMER ASSOC PHYSICS TEACHERS AMER INST PHYSICS	MELVILLE	STE 1 NO 1, 2 HUNTINGTON QUADRANGLE, MELVILLE, NY 11747-4502 USA	0002-9505			AM J PHYS	Am. J. Phys.	FEB	2007	75	2					151	157		10.1119/1.2360990		7	Education, Scientific Disciplines; Physics, Multidisciplinary	Education & Educational Research; Physics	132QT	WOS:000243958000009		
J	Chen, JH; Wang, YJ				Chen, Ju-Hua; Wang, Yong-Jiu			Gravitational frequency-shift and deflection of light by quintessence	CHINESE PHYSICS			English	Article						frequency-shift; deflection; quintessence	HIGH-REDSHIFT SUPERNOVAE; HUBBLE-SPACE-TELESCOPE; DARK ENERGY; BLACK-HOLE; COSMOLOGICAL CONSTANT; TEST PARTICLE; FIELD; CONSTRAINTS; STABILITY; COMPONENT	In this paper we investigate the gravitational frequency-shift and deflection of light in the Schwarzschild black hole space-time surrounded by quintessence. With the analytical and numerical methods, we find that the gravitational frequency-shift of light in the Schwarzschild black hole space-time surrounded by the quintessence increases as the values of the normalization factor c increases, but the gravitational frequency-shift of light decreases with the quintessential state parameter omega(q) increasing. We also calculate the deflection of light by quintessence and find that the deflection rate decreases as the values of the quintessential parameters c and omega(q) increase.	Hunan Normal Univ, Coll Phys & Informat Sci, Changsha 410081, Peoples R China	Chen, JH (reprint author), Hunan Normal Univ, Coll Phys & Informat Sci, Changsha 410081, Peoples R China.	jhchen@hunnu.edu.cn					Alcaniz JS, 2004, PHYS REV D, V69; ANDERSON JD, 2002, PHYS REV D, V64, DOI UNSP 082004; BACON D, 2000, NON NOT R, V318, P625; Bacon DJ, 2003, MON NOT R ASTRON SOC, V344, P673, DOI 10.1046/j.1365-8711.2003.06877.x; BANKS T, 2001, HEPTH0102077; Caldwell RR, 2002, PHYS LETT B, V545, P23, DOI 10.1016/S0370-2693(02)02589-3; Caldwell RR, 1998, PHYS REV LETT, V80, P1582, DOI 10.1103/PhysRevLett.80.1582; Capozziello S, 2006, CLASSICAL QUANT GRAV, V23, P1205, DOI 10.1088/0264-9381/23/4/009; Chen JH, 2003, CLASSICAL QUANT GRAV, V20, P3897, DOI 10.1088/0264-9381/20/18/303; Chen JH, 2005, CHINESE PHYS, V14, P1282, DOI 10.1088/1009-1963/14/7/002; Chen JH, 2004, CHINESE PHYS, V13, P583; Chen JH, 2001, ACTA PHYS SIN-CH ED, V50, P1833; Chen JH, 2003, CHINESE PHYS, V12, P836; Chiba T, 2000, PHYS REV D, V62, DOI 10.1103/PhysRevD.62.023511; Chimento LP, 2003, PHYS REV LETT, V91, DOI 10.1103/PhysRevLett.91.211301; de Bernardis P, 2000, NATURE, V404, P955, DOI 10.1038/35010035; Feng B, 2006, PHYS LETT B, V20, P2075; Halverson NW, 2002, ASTROPHYS J, V568, P38, DOI 10.1086/338879; HELLERMAN S, 2001, J HIGH ENERGY PHYS J; HELLERMAN S, 2001, HEPPH0104180; Kiselev VV, 2003, CLASSICAL QUANT GRAV, V20, P1187, DOI 10.1088/0264-9381/20/6/310; Knop RA, 2003, ASTROPHYS J, V598, P102, DOI 10.1086/378560; Lamon R, 2006, PHYS REV D, V73, DOI 10.1103/PhysRevD.73.023507; LANDAU LD, 1978, FIELD THEORY; Padmanabhan T, 2003, PHYS REP, V380, P235, DOI 10.1016/S0370-1573(03)00120-0; Perlmutter S, 1999, ASTROPHYS J, V517, P565, DOI 10.1086/307221; Riess AG, 1998, ASTRON J, V116, P1009, DOI 10.1086/300499; Riess AG, 2004, ASTROPHYS J, V607, P665, DOI 10.1086/383612; SAHNIV, 2000, PHYS REV D, V62; Shu WX, 2006, CHINESE PHYS, V15, P934, DOI 10.1088/1009-1963/15/5/011; TAKESHI C, 1998, ASTROPHYS J, V509, P74; Tian GH, 2006, CHINESE PHYS, V15, P1430, DOI 10.1088/1009-1963/15/7/008; VALERIA K, 2006, GRQC0602002; VIKRAM A, 2005, PHYS REV D, V71, DOI UNSP 023515; Wang YJ, 2001, ACTA PHYS SIN-CH ED, V50, P1829; Wang YJ, 2004, CHINESE PHYS, V13, P579; Wang YJ, 2001, ACTA PHYS SIN-CH ED, V50, P2284; Wang YJ, 2001, CHINESE PHYS, V10, P679, DOI 10.1088/1009-1963/10/8/301; Wei H, 2005, CLASSICAL QUANT GRAV, V22, P3189, DOI 10.1088/0264-9381/22/16/005; Witten E., 2001, HEPTH0106109; Zhang X, 2005, PHYS REV D, V72, DOI 10.1103/PhysRevD.72.043524; Zhao GB, 2005, PHYS REV D, V72, DOI 10.1103/PhysRevD.72.123515	42	12	15	IOP PUBLISHING LTD	BRISTOL	DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND	1009-1963			CHINESE PHYS	Chin. Phys.	NOV	2007	16	11					3212	3215				4	Physics, Multidisciplinary	Physics	232XG	WOS:000251053800011		
J	Bakala, P; Cermak, P; Hledik, S; Stuchlik, Z; Truparova, K				Bakala, Pavel; Cermak, Petr; Hledik, Stanislav; Stuchlik, Zdenek; Truparova, Kamila			Extreme gravitational lensing in vicinity of Schwarzschild-de Sitter black holes	CENTRAL EUROPEAN JOURNAL OF PHYSICS			English	Article						black holes; cosmological constant; gravitational lensing; visualization; numerical relativity	COSMOLOGICAL CONSTANT; NEUTRON-STAR	We have developed a realistic, fully general relativistic computer code to simulate optical projection in a strong, spherically symmetric gravitational field. The standard theoretical analysis of optical projection for an observer in the vicinity of a Schwarzschild black hole is extended to black hole spacetimes with a repulsive cosmological constant, i.e, Schwarzschild de Sitterspacetimes. Influence of the cosmological constant is investigated for static observers and observers radially free-falling from the static radius. Simulations include effects of the gravitational lensing, multiple images, Doppler and gravitational frequency shift, as well as the intensity amplification. The code generates images of the sky for the static observer and a movie simulations of the changing sky for the radially free-falling observer. Techniques of parallel programming are applied to get a high performance and a fast run of the BHC simulation code. (C) Versita Warsaw and Springer-Verlag Berlin Heidelberg. All rights reserved.	[Bakala, Pavel; Hledik, Stanislav; Stuchlik, Zdenek; Truparova, Kamila] Silesian Univ, Fac Philosophy & Sci, Inst Phys, CZ-74601 Opava, Czech Republic; [Cermak, Petr] Silesian Univ, Fac Philosophy & Sci, Inst Comp Sci, CZ-74601 Opava, Czech Republic	Bakala, P (reprint author), Silesian Univ, Fac Philosophy & Sci, Inst Phys, Bezrucovo Nam 13, CZ-74601 Opava, Czech Republic.	pavel.bakala@fpf.slu.cz	Bakala, Pavel/D-2416-2010; Cermak, Petr/D-5455-2013				BAKALA P, 2005, P RAGTIME 6 7 SIL U, P11; BENGER W, 1996, RELATIVITY SCI COMPU; CUNNINGHAM CT, 1975, PHYS REV D, V12, P323, DOI 10.1103/PhysRevD.12.323; Einstein A, 1936, Science, V84, P506, DOI 10.1126/science.84.2188.506; HAMILTON AJS, 2004, B AM ASTRONOMICAL SO, V36, P810; Kobras D, 2001, W S C G ' 2001, VOLS I & II, CONFERENCE PROCEEDINGS, P130; KRAUSS LM, 1995, GEN RELAT GRAVIT, V27, P1137, DOI 10.1007/BF02108229; *MSM, 4781305903 MSM; NEMIROFF RJ, 1993, AM J PHYS, V61, P619, DOI 10.1119/1.17224; NOLLERT HP, 1989, ASTRON ASTROPHYS, V208, P153; OHANIAN HC, 1987, AM J PHYS, V55, P428, DOI 10.1119/1.15126; OSTRIKER JP, 1995, NATURE, V377, P600, DOI 10.1038/377600a0; STUCHLIK Z, 2004, P RAGTIME 4 5 SIL U, P167; Stuchlik Z, 2000, ASTRON ASTROPHYS, V363, P425; Stuchlik Z, 1999, PHYS REV D, V60, DOI 10.1103/PhysRevD.60.044006; VIERGUTZ SU, 1993, ASTRON ASTROPHYS, V272, P355	16	4	4	VERSITA	WARSAW 41	9 DRUGA POPRZECNA ST, 04-604 WARSAW 41, POLAND	1895-1082			CENT EUR J PHYS	Cent. Eur. J. Phys.	DEC	2007	5	4					599	610		10.2478/s11534-007-0033-6		12	Physics, Multidisciplinary	Physics	236RH	WOS:000251320600014		
