source,target
8066420215978626200,13236699625184555085
8066420215978626200,16591370746482138146
8066420215978626200,14110279249614759766
8066420215978626200,3304380016146467847
8066420215978626200,1887245510893068274
8066420215978626200,1562411374718911369
8066420215978626200,6819705721538462045
8066420215978626200,13505226937986080014
8066420215978626200,17345052744690172019
8066420215978626200,14265606160750307633
3304380016146467847,16888448779462822920
3304380016146467847,13102890771516471065
3304380016146467847,4300970004529238500
3304380016146467847,8183041740730860922
3304380016146467847,8799294614287754687
3304380016146467847,7422287691854027578
3304380016146467847,6188521334471223664
3304380016146467847,11612397823986747102
3304380016146467847,18390664711257628156
3304380016146467847,16223135719897629050
13236699625184555085,5679112812587673136
13236699625184555085,10648730190837903444
13236699625184555085,3962376345999534905
13236699625184555085,10247494253034349414
13236699625184555085,4214277860018394789
13236699625184555085,17852612799127925294
13236699625184555085,2073577407186785391
13236699625184555085,1489993461186349819
13236699625184555085,2080725945568323480
13236699625184555085,4399704678323594501
14265606160750307633,5006104005375103440
14265606160750307633,4193185519624700375
14265606160750307633,14411475534889182638
14265606160750307633,1290196611759789063
14265606160750307633,5361927362055160247
14265606160750307633,6892682849836142198
14265606160750307633,5153238852742282789
14265606160750307633,5915866172981566317
14265606160750307633,18156273864574094821
14265606160750307633,1880948881301794679
14110279249614759766,8103720807881363458
14110279249614759766,8334743914074564238
14110279249614759766,10345673944223584188
14110279249614759766,2869814780032928070
14110279249614759766,9611108896558765206
14110279249614759766,16527511400766981511
14110279249614759766,14360267707157969385
14110279249614759766,14162573206212289292
14110279249614759766,17356745435013955378
14110279249614759766,1991228081183103841
1887245510893068274,15306232667940952711
1887245510893068274,13236699625184555085
1887245510893068274,3266363484838289409
1887245510893068274,16809983107195186079
1887245510893068274,6098919591132601339
1887245510893068274,8612318971229495860
1887245510893068274,7553340185024589582
1887245510893068274,3105156469460524840
1887245510893068274,15166365308210523536
1887245510893068274,14638653465637018739
1562411374718911369,11594452642351371823
1562411374718911369,5091517075742540644
1562411374718911369,17219429169266262117
1562411374718911369,14418749084142240280
1562411374718911369,5220543107042880529
1562411374718911369,15702034331667910159
1562411374718911369,8241988029677197660
1562411374718911369,15544515372915768263
1562411374718911369,715987523523198463
1562411374718911369,7461528665690739762
17345052744690172019,10650404028368958861
17345052744690172019,15167405596197157282
17345052744690172019,2101221661931891468
17345052744690172019,12214708765835075434
17345052744690172019,14381482001435739969
17345052744690172019,4446767945767351460
17345052744690172019,6089430789798386676
17345052744690172019,4650143059439853068
17345052744690172019,8323041867074064223
17345052744690172019,11235601579137545941
13505226937986080014,9751592570670668759
13505226937986080014,342103249347579926
13505226937986080014,10413443285896404702
13505226937986080014,3854089764774945796
13505226937986080014,4333318140645464937
13505226937986080014,441937914130825853
13505226937986080014,2366035291457939803
13505226937986080014,3979021768671065201
13505226937986080014,789468812864626323
13505226937986080014,2618637740509683199
16591370746482138146,2857487329459263699
16591370746482138146,5706335264989253980
16591370746482138146,14104802430711603539
16591370746482138146,6215657238947212255
16591370746482138146,449426041704379020
16591370746482138146,15546387305939921338
16591370746482138146,7461414438484792335
16591370746482138146,18203790892406879924
16591370746482138146,12637762590538140093
16591370746482138146,3447602556187162246
6819705721538462045,11780698255487103800
6819705721538462045,208829199956979047
6819705721538462045,13299000382113771897
6819705721538462045,13159594198281220998
6819705721538462045,6429313507243502838
6819705721538462045,10667577269028508114
6819705721538462045,11424932236210271867
6819705721538462045,14162573206212289292
6819705721538462045,1021195129240749246
6819705721538462045,5701411112753433621
2073577407186785391,9130043174745814928
2073577407186785391,8932264407390643826
2073577407186785391,3304380016146467847
2073577407186785391,8241988029677197660
2073577407186785391,5153238852742282789
2073577407186785391,5859189182175932129
2073577407186785391,2576254620197471737
2073577407186785391,18132682703003500105
2073577407186785391,7422287691854027578
2073577407186785391,10866315952855769171
5679112812587673136,1084319492318901004
5679112812587673136,14104802430711603539
5679112812587673136,7859327031530021263
5679112812587673136,1061468548269916276
5679112812587673136,2218048201106332066
